Time,in,out
0.000000,2.000000,0.000000
0.001000,1.998954,0.000000
0.002000,1.997899,0.000000
0.003000,1.996838,0.000000
0.004000,1.995769,0.000000
0.005000,1.994692,0.000000
0.006000,1.993607,0.000000
0.007000,1.992515,0.000000
0.008000,1.991416,0.000000
0.009000,1.990309,0.000000
0.010000,1.989194,0.000000
0.011000,1.988072,0.000000
0.012000,1.986942,0.000000
0.013000,1.985805,0.000000
0.014000,1.984661,0.000000
0.015000,1.983509,0.000000
0.016000,1.982350,0.000000
0.017000,1.981184,0.000000
0.018000,1.980011,0.000000
0.019000,1.978830,0.000000
0.020000,1.977643,0.000000
0.021000,1.976448,0.000000
0.022000,1.975246,0.000000
0.023000,1.974037,0.000000
0.024000,1.972821,0.000000
0.025000,1.971599,0.000000
0.026000,1.970369,0.000000
0.027000,1.969132,0.000000
0.028000,1.967889,0.000000
0.029000,1.966639,0.000000
0.030000,1.965382,0.000000
0.031000,1.964118,0.000000
0.032000,1.962848,0.000000
0.033000,1.961571,0.000000
0.034000,1.960287,0.000000
0.035000,1.958997,0.000000
0.036000,1.957700,0.000000
0.037000,1.956397,0.000000
0.038000,1.955087,0.000000
0.039000,1.953771,0.000000
0.040000,1.952449,0.000000
0.041000,1.951120,0.000000
0.042000,1.949785,0.000000
0.043000,1.948443,0.000000
0.044000,1.947096,0.000000
0.045000,1.945742,0.000000
0.046000,1.944382,0.000000
0.047000,1.943016,0.000000
0.048000,1.941643,0.000000
0.049000,1.940265,0.000000
0.050000,1.938881,0.000000
0.051000,1.937491,0.000000
0.052000,1.936094,0.000000
0.053000,1.934692,0.000000
0.054000,1.933285,0.000000
0.055000,1.931871,0.000000
0.056000,1.930451,0.000000
0.057000,1.929026,0.000000
0.058000,1.927595,0.000000
0.059000,1.926159,0.000000
0.060000,1.924716,0.000000
0.061000,1.923269,0.000000
0.062000,1.921815,0.000000
0.063000,1.920357,0.000000
0.064000,1.918892,0.000000
0.065000,1.917423,0.000000
0.066000,1.915948,0.000000
0.067000,1.914467,0.000000
0.068000,1.912981,0.000000
0.069000,1.911490,0.000000
0.070000,1.909994,0.000000
0.071000,1.908493,0.000000
0.072000,1.906986,0.000000
0.073000,1.905475,0.000000
0.074000,1.903958,0.000000
0.075000,1.902436,0.000000
0.076000,1.900909,0.000000
0.077000,1.899378,0.000000
0.078000,1.897841,0.000000
0.079000,1.896299,0.000000
0.080000,1.894753,0.000000
0.081000,1.893202,0.000000
0.082000,1.891646,0.000000
0.083000,1.890086,0.000000
0.084000,1.888520,0.000000
0.085000,1.886950,0.000000
0.086000,1.885376,0.000000
0.087000,1.883797,0.000000
0.088000,1.882213,0.000000
0.089000,1.880625,0.000000
0.090000,1.879032,0.000000
0.091000,1.877436,0.000000
0.092000,1.875834,0.000000
0.093000,1.874229,0.000000
0.094000,1.872619,0.000000
0.095000,1.871005,0.000000
0.096000,1.869386,0.000000
0.097000,1.867764,0.000000
0.098000,1.866137,0.000000
0.099000,1.864506,0.000000
0.100000,1.862872,0.000000
0.101000,1.861233,0.000000
0.102000,1.859590,0.000000
0.103000,1.857943,0.000000
0.104000,1.856293,0.000000
0.105000,1.854638,0.000000
0.106000,1.852980,0.000000
