Time,control,height
0,0.5,1.998954
0.001,0,1.997899
0.002,0,1.996838
0.003,0,1.995769
0.004,0,1.994692
0.005,0,1.993607
0.006,0,1.992515
0.007,0,1.991416
0.008,0,1.990309
0.009,0,1.989194
0.01,0,1.988072
0.011,0,1.986942
0.012,0,1.985805
0.013,0,1.984661
0.014,0,1.983509
0.015,0,1.98235
0.016,0,1.981184
0.017,0,1.980011
0.018,0,1.97883
0.019,0,1.977643
0.02,0,1.976448
0.021,0,1.975246
0.022,0,1.974037
0.023,0,1.972821
0.024,0,1.971599
0.025,0,1.970369
0.026,0,1.969132
0.027,0,1.967889
0.028,0,1.966639
0.029,0,1.965382
0.03,0,1.964118
0.031,0,1.962848
0.032,0,1.961571
0.033,0,1.960287
0.034,0,1.958997
0.035,0,1.9577
0.036,0,1.956397
0.037,0,1.955087
0.038,0,1.953771
0.039,0,1.952449
0.04,0,1.95112
0.041,0,1.949785
0.042,0,1.948443
0.043,0,1.947096
0.044,0,1.945742
0.045,0,1.944382
0.046,0,1.943016
0.047,0,1.941643
0.048,0,1.940265
0.049,0,1.938881
0.05,0,1.937491
0.051,0,1.936094
0.052,0,1.934692
0.053,0,1.933285
0.054,0,1.931871
0.055,0,1.930451
0.056,0,1.929026
0.057,0,1.927595
0.058,0,1.926159
0.059,0,1.924716
0.06,0,1.923269
0.061,0,1.921815
0.062,0,1.920357
0.063,0,1.918892
0.064,0,1.917423
0.065,0,1.915948
0.066,0,1.914467
0.067,0,1.912981
0.068,0,1.91149
0.069,0,1.909994
0.07,0,1.908493
0.071,0,1.906986
0.072,0,1.905475
0.073,0,1.903958
0.074,0,1.902436
0.075,0,1.900909
0.076,0,1.899378
0.077,0,1.897841
0.078,0,1.896299
0.079,0,1.894753
0.08,0,1.893202
0.081,0,1.891646
0.082,0,1.890086
0.083,0,1.88852
0.084,0,1.88695
0.085,0,1.885376
0.086,0,1.883797
0.087,0,1.882213
0.088,0,1.880625
0.089,0,1.879032
0.09,0,1.877436
0.091,0,1.875834
0.092,0,1.874229
0.093,0,1.872619
0.094,0,1.871005
0.095,0,1.869386
0.096,0,1.867764
0.097,0,1.866137
0.098,0,1.864506
0.099,0,1.862872
0.1,0,1.861233
0.101,0,1.85959
0.102,0,1.857943
0.103,0,1.856293
0.104,0,1.854638
0.105,0,1.85298
0.106,0,1.851318
0.107,0,1.849652
0.108,0,1.847983
0.109,0,1.84631
0.11,0,1.844633
0.111,0,1.842953
0.112,0,1.841269
0.113,0,1.839582
0.114,0,1.837891
0.115,0,1.836197
0.116,0,1.8345
0.117,0,1.832799
0.118,0,1.831095
0.119,0,1.829387
0.12,0,1.827676
0.121,0,1.825963
0.122,0,1.824246
0.123,0,1.822526
0.124,0,1.820803
0.125,0,1.819076
0.126,0,1.817347
0.127,0,1.815615
0.128,0,1.81388
0.129,0,1.812143
0.13,0,1.810402
0.131,0,1.808658
0.132,0,1.806912
0.133,0,1.805163
0.134,0,1.803412
0.135,0,1.801658
0.136,0,1.799901
0.137,0,1.798142
0.138,0,1.79638
0.139,0,1.794615
0.14,0,1.792849
0.141,0,1.79108
0.142,0,1.789308
0.143,0,1.787534
0.144,0,1.785758
0.145,0,1.78398
0.146,0,1.782199
0.147,0,1.780417
0.148,0,1.778632
0.149,0,1.776845
0.15,0,1.775056
0.151,0,1.773265
0.152,0,1.771472
0.153,0,1.769677
0.154,0,1.767881
0.155,0,1.766082
0.156,0,1.764282
0.157,0,1.76248
0.158,0,1.760676
0.159,0,1.75887
0.16,0,1.757063
0.161,0,1.755254
0.162,0,1.753443
0.163,0,1.751631
0.164,0,1.749818
0.165,0,1.748003
0.166,0,1.746186
0.167,0,1.744369
0.168,0,1.742549
0.169,0,1.740729
0.17,0,1.738907
0.171,0,1.737084
0.172,0,1.73526
0.173,0,1.733435
0.174,0,1.731608
0.175,0,1.72978
0.176,0,1.727952
0.177,0,1.726122
0.178,0,1.724291
0.179,0,1.72246
0.18,0,1.720627
0.181,0,1.718794
0.182,0,1.71696
0.183,0,1.715125
0.184,0,1.713289
0.185,0,1.711452
0.186,0,1.709615
0.187,0,1.707777
0.188,0,1.705939
0.189,0,1.7041
0.19,0,1.70226
0.191,0,1.70042
0.192,0,1.69858
0.193,0,1.696739
0.194,0,1.694898
0.195,0,1.693056
0.196,0,1.691214
0.197,0,1.689372
